,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,15,laisse,leash
14,16,eux,them
15,17,chaque,each
16,18,parlé,speak
17,19,arrivé,come
18,20,devrait,should
19,21,bébé,baby
20,22,longtemps,long time
21,23,heures,hours
22,24,vont,will
23,25,pendant,while
24,26,revoir,meet again
25,27,aucune,any
26,28,place,square
27,29,parle,speak
28,30,compris,understood
29,31,savais,knew
30,32,étaient,were
31,33,attention,Warning
32,34,voici,here is
33,35,pourrais,could
34,36,affaire,case
35,37,donner,give
36,38,type,type
37,39,leurs,their
38,40,donné,given
39,41,train,train
40,42,corps,body
41,43,endroit,place
42,44,yeux,eyes
43,45,façon,way
44,46,écoute,listen
45,47,dont,whose
46,48,trouve,find
47,49,premier,first
48,50,perdu,lost
49,51,main,hand
50,52,première,first
51,53,côté,side
52,54,vieux,old
53,55,sois,be
54,56,tiens,here
55,57,matin,morning
56,58,tellement,so much
57,59,enfant,child
58,60,point,point
59,61,venu,came
60,62,suite,after
61,63,pardon,sorry
62,64,venez,come
63,65,devant,in front of
64,66,vers,towards
65,67,minutes,minutes
66,68,demandé,request
67,70,mis,placed
68,71,belle,beautiful
69,72,droit,law
70,73,aimerais,would like to
71,74,mari,husband
72,75,cause,cause
73,76,enfin,finally
74,77,espère,hope
75,78,eau,water
76,79,attendez,Wait
77,80,parti,left
78,81,nouvelle,new
79,82,boulot,job
80,83,arrêter,Stop
81,84,dirait,would say
82,85,terre,Earth
83,86,compte,account
84,87,donne,given
85,88,loin,far
86,89,fin,end
87,90,croire,believe
88,91,chérie,sweetheart
89,92,gros,large
90,93,plutôt,rather
91,94,aura,will have
92,95,filles,girls
93,96,jouer,to play
94,97,bureau,office
